unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1577836740,2019-12-31 23:59:00,BTC/USD,7167.3,7171.22,7167.3,7168.36,0.19144775,1372.3663931899998
1546301760,2019-01-01 00:16:00,BTC/USD,3690.61,3690.61,3687.96,3687.96,0.15,553.194
1546302660,2019-01-01 00:31:00,BTC/USD,3688.85,3688.85,3688.85,3688.85,12.91291804,47633.817711854
1546303560,2019-01-01 00:46:00,BTC/USD,3696.35,3696.35,3696.35,3696.35,0.02586797,95.6170709095
1546304460,2019-01-01 01:01:00,BTC/USD,3694.36,3694.92,3694.36,3694.92,5.40947713,19987.5852371796
1546305360,2019-01-01 01:16:00,BTC/USD,3695.35,3696.0,3693.12,3695.35,7.0337439,25992.145520865
1546306260,2019-01-01 01:31:00,BTC/USD,3698.26,3698.26,3698.26,3698.26,0.0,0.0
1546307160,2019-01-01 01:46:00,BTC/USD,3676.94,3676.94,3676.94,3676.94,1.24201005,4566.796433247
1546308060,2019-01-01 02:01:00,BTC/USD,3681.18,3681.18,3681.18,3681.18,0.2960767,1089.911626506
1546308960,2019-01-01 02:16:00,BTC/USD,3679.77,3679.77,3679.77,3679.77,0.00554,20.3859258
1546309860,2019-01-01 02:31:00,BTC/USD,3675.67,3676.84,3675.67,3676.84,0.151098,555.56317032
1546310760,2019-01-01 02:46:00,BTC/USD,3677.79,3677.79,3677.79,3677.79,0.0,0.0
1546311660,2019-01-01 03:01:00,BTC/USD,3680.84,3680.84,3680.84,3680.84,0.0,0.0
1546312560,2019-01-01 03:16:00,BTC/USD,3681.76,3681.76,3681.39,3681.39,1.49333848,5497.5613468872
1546313460,2019-01-01 03:31:00,BTC/USD,3684.42,3684.8,3682.62,3682.62,2.60557916,9595.3579261992
1546314360,2019-01-01 03:46:00,BTC/USD,3679.63,3682.33,3679.63,3679.63,1.99704906,7348.4016326478
1546315260,2019-01-01 04:01:00,BTC/USD,3682.22,3685.28,3682.12,3682.12,2.92578705,10773.099012546
1546316160,2019-01-01 04:16:00,BTC/USD,3688.74,3692.95,3688.74,3688.74,2.18218986,8049.531024176399
1546317060,2019-01-01 04:31:00,BTC/USD,3682.12,3684.18,3682.12,3682.12,2.43273808,8957.6335391296
1546317960,2019-01-01 04:46:00,BTC/USD,3680.69,3683.56,3680.13,3680.13,3.00698067,11066.0797730871
1546318860,2019-01-01 05:01:00,BTC/USD,3684.34,3685.26,3679.8,3680.37,2.12165563,7808.477730983099
1546319760,2019-01-01 05:16:00,BTC/USD,3685.02,3685.02,3685.02,3685.02,0.0,0.0
1546320660,2019-01-01 05:31:00,BTC/USD,3686.0,3686.0,3685.62,3685.62,1.55097749,5716.3136566938
1546321560,2019-01-01 05:46:00,BTC/USD,3688.68,3688.68,3688.68,3688.68,0.0,0.0
1546322460,2019-01-01 06:01:00,BTC/USD,3690.85,3690.85,3690.64,3690.85,0.19425824,716.9780251039999
1546323360,2019-01-01 06:16:00,BTC/USD,3692.96,3692.96,3692.96,3692.96,0.03294284,121.6565904064
1546324260,2019-01-01 06:31:00,BTC/USD,3691.4,3691.41,3691.4,3691.41,2.39648585,8846.4118315485
1546325160,2019-01-01 06:46:00,BTC/USD,3687.78,3688.13,3687.78,3688.13,5.08759165,18763.6993921145
1546326060,2019-01-01 07:01:00,BTC/USD,3691.63,3691.63,3691.63,3691.63,0.0,0.0
1546326960,2019-01-01 07:16:00,BTC/USD,3714.96,3716.79,3702.65,3710.25,96.89262188,359495.85033026995
1546327860,2019-01-01 07:31:00,BTC/USD,3703.49,3704.4,3703.49,3704.4,3.211,11894.8284
1546328760,2019-01-01 07:46:00,BTC/USD,3700.09,3702.86,3700.09,3702.86,2.09029923,7740.0854067978
1546329660,2019-01-01 08:01:00,BTC/USD,3700.44,3706.26,3700.44,3706.26,17.25997477,63969.9540910602
1546330560,2019-01-01 08:16:00,BTC/USD,3705.71,3708.85,3705.71,3708.85,4.07753176,15122.953668076
1546331460,2019-01-01 08:31:00,BTC/USD,3723.25,3723.37,3721.17,3721.77,5.19247712,19325.205570902403
1546332360,2019-01-01 08:46:00,BTC/USD,3716.86,3716.86,3716.86,3716.86,0.0,0.0
1546333260,2019-01-01 09:01:00,BTC/USD,3710.87,3713.0,3710.87,3712.99,1.90978761,7091.022298053899
1546334160,2019-01-01 09:16:00,BTC/USD,3708.86,3708.86,3708.86,3708.86,0.005,18.5443
1546335060,2019-01-01 09:31:00,BTC/USD,3710.02,3710.02,3710.02,3710.02,0.0,0.0
1546335960,2019-01-01 09:46:00,BTC/USD,3701.72,3701.72,3701.72,3701.72,0.076293,282.41532396
1546336860,2019-01-01 10:01:00,BTC/USD,3698.75,3698.75,3695.55,3697.35,0.25018513,925.0219904055
1546337760,2019-01-01 10:16:00,BTC/USD,3704.1,3704.1,3704.1,3704.1,0.43398369,1607.5189861289998
1546338660,2019-01-01 10:31:00,BTC/USD,3703.63,3703.63,3702.85,3703.07,13.45131747,49811.1701836329
1546339560,2019-01-01 10:46:00,BTC/USD,3704.36,3705.07,3704.36,3705.07,1.69803495,6291.338352196501
1546340460,2019-01-01 11:01:00,BTC/USD,3709.36,3709.36,3709.21,3709.21,3.71579362,13782.6588532402
1546341360,2019-01-01 11:16:00,BTC/USD,3710.0,3710.44,3710.0,3710.0,86.9090751,322432.668621
1546342260,2019-01-01 11:31:00,BTC/USD,3712.7,3713.84,3712.7,3713.84,2.0,7427.68
1546343160,2019-01-01 11:46:00,BTC/USD,3713.2,3713.2,3713.2,3713.2,0.056748,210.7166736
1546344060,2019-01-01 12:01:00,BTC/USD,3694.63,3694.63,3694.63,3694.63,2.57292102,9505.9911881226
1546344960,2019-01-01 12:16:00,BTC/USD,3708.44,3708.44,3707.11,3707.11,2.23814426,8297.0469676886
1546345860,2019-01-01 12:31:00,BTC/USD,3706.55,3707.0,3706.55,3707.0,7.61614692,28233.05663244
1546346760,2019-01-01 12:46:00,BTC/USD,3712.19,3712.19,3712.19,3712.19,0.01,37.1219
1546347660,2019-01-01 13:01:00,BTC/USD,3712.95,3713.5,3710.08,3713.38,0.32447468,1204.8977872184
1546348560,2019-01-01 13:16:00,BTC/USD,3710.65,3710.65,3707.2,3707.2,2.37180523,8792.756348656
1546349460,2019-01-01 13:31:00,BTC/USD,3714.75,3714.75,3713.57,3713.57,0.28684824,1065.2310186168
1546350360,2019-01-01 13:46:00,BTC/USD,3715.23,3716.02,3715.23,3715.23,5.26226779,19550.5351614417
1546351260,2019-01-01 14:01:00,BTC/USD,3676.29,3693.92,3670.72,3690.38,38.52384114,142167.61286623322
1546352160,2019-01-01 14:16:00,BTC/USD,3700.5,3703.29,3700.5,3703.29,0.09922578,367.4618388162
1546353060,2019-01-01 14:31:00,BTC/USD,3701.66,3701.66,3701.66,3701.66,0.046995,173.9595117
1546353960,2019-01-01 14:46:00,BTC/USD,3703.97,3703.97,3703.97,3703.97,0.0,0.0
1546354860,2019-01-01 15:01:00,BTC/USD,3688.39,3688.44,3685.62,3685.62,2.71139322,9993.1650794964
1546355760,2019-01-01 15:16:00,BTC/USD,3686.47,3686.47,3678.28,3680.78,2.97703972,10957.8282605816
1546356660,2019-01-01 15:31:00,BTC/USD,3680.5,3680.5,3680.5,3680.5,0.0,0.0
1546357560,2019-01-01 15:46:00,BTC/USD,3687.68,3687.68,3685.83,3685.83,2.78310677,10258.0584260691
1546358460,2019-01-01 16:01:00,BTC/USD,3679.38,3683.0,3679.37,3683.0,1.04146827,3835.72763841
1546359360,2019-01-01 16:16:00,BTC/USD,3681.49,3681.49,3679.59,3679.59,0.00797,29.3263323
1546360260,2019-01-01 16:31:00,BTC/USD,3691.26,3691.26,3686.05,3690.96,0.1908205,704.31083268
1546361160,2019-01-01 16:46:00,BTC/USD,3685.75,3685.75,3685.46,3685.46,3.12054189,11500.6323139194
1546362060,2019-01-01 17:01:00,BTC/USD,3689.7,3689.7,3689.7,3689.7,0.010727,39.5794119
1546362960,2019-01-01 17:16:00,BTC/USD,3694.1,3694.1,3694.1,3694.1,1.48807762,5497.107536042
1546363860,2019-01-01 17:31:00,BTC/USD,3695.77,3695.77,3695.77,3695.77,0.0,0.0
1546364760,2019-01-01 17:46:00,BTC/USD,3689.74,3689.74,3689.74,3689.74,0.030667,113.15325658
1546365660,2019-01-01 18:01:00,BTC/USD,3684.46,3684.46,3684.46,3684.46,0.0,0.0
1546366560,2019-01-01 18:16:00,BTC/USD,3673.06,3674.06,3671.97,3674.06,5.59465485,20555.097598191
1546367460,2019-01-01 18:31:00,BTC/USD,3675.51,3676.01,3675.51,3676.01,0.08393428,308.5432526228
1546368360,2019-01-01 18:46:00,BTC/USD,3657.63,3657.63,3657.63,3657.63,0.01954036,71.4714069468
1546369260,2019-01-01 19:01:00,BTC/USD,3662.89,3662.93,3662.74,3662.82,4.3121645,15794.68237389
1546370160,2019-01-01 19:16:00,BTC/USD,3679.78,3679.78,3673.52,3673.52,0.1920278,705.417963856
1546371060,2019-01-01 19:31:00,BTC/USD,3675.67,3675.67,3675.67,3675.67,0.0,0.0
1546371960,2019-01-01 19:46:00,BTC/USD,3689.37,3689.37,3689.37,3689.37,0.49993073,1844.4294373401
1546372860,2019-01-01 20:01:00,BTC/USD,3700.72,3700.72,3696.78,3697.19,2.2190163,8204.124874197
1546373760,2019-01-01 20:16:00,BTC/USD,3722.93,3730.0,3722.93,3727.82,6.38906602,23817.2880906764
1546374660,2019-01-01 20:31:00,BTC/USD,3717.88,3721.43,3714.24,3719.0,10.58657128,39371.45859032
1546375560,2019-01-01 20:46:00,BTC/USD,3718.73,3720.0,3718.73,3720.0,6.6826516,24859.463952
1546376460,2019-01-01 21:01:00,BTC/USD,3725.59,3729.31,3724.79,3729.31,5.01788846,18713.2616127626
1546377360,2019-01-01 21:16:00,BTC/USD,3721.06,3721.06,3721.06,3721.06,5.53769432,20606.0928263792
1546378260,2019-01-01 21:31:00,BTC/USD,3717.97,3717.97,3714.82,3714.82,0.90607614,3365.9097663948
1546379160,2019-01-01 21:46:00,BTC/USD,3717.72,3717.72,3717.71,3717.71,1.04998688,3903.5467236448
1546380060,2019-01-01 22:01:00,BTC/USD,3717.6,3720.35,3717.6,3720.35,3.34411699,12441.2856437465
1546380960,2019-01-01 22:16:00,BTC/USD,3712.83,3717.87,3712.82,3712.82,1.68029262,6238.6240453884
1546381860,2019-01-01 22:31:00,BTC/USD,3714.87,3714.87,3714.87,3714.87,0.0,0.0
1546382760,2019-01-01 22:46:00,BTC/USD,3725.87,3725.87,3725.87,3725.87,0.0,0.0
1546383660,2019-01-01 23:01:00,BTC/USD,3717.25,3717.25,3716.69,3716.69,1.84001048,6838.748550911199
1546384560,2019-01-01 23:16:00,BTC/USD,3743.94,3743.94,3741.63,3741.64,1.24761165,4668.1136541060005
1546385460,2019-01-01 23:31:00,BTC/USD,3818.58,3819.78,3807.48,3814.67,8.37810866,31959.7197620422
1546386360,2019-01-01 23:46:00,BTC/USD,3811.31,3811.31,3805.01,3805.01,0.004901,18.64835401
1546387260,2019-01-02 00:01:00,BTC/USD,3825.41,3828.58,3817.41,3828.58,2.73262993,10462.0922973994
1546388160,2019-01-02 00:16:00,BTC/USD,3811.8,3818.2,3811.75,3815.59,3.82426624,14591.8320226816
1546389060,2019-01-02 00:31:00,BTC/USD,3804.24,3805.41,3802.1,3802.7,1.67983337,6387.902356099
1546389960,2019-01-02 00:46:00,BTC/USD,3798.53,3798.53,3798.53,3798.53,0.41156427,1563.3392265231
1546390860,2019-01-02 01:01:00,BTC/USD,3805.22,3807.79,3805.22,3806.17,5.63722904,21456.252055176803
1546391760,2019-01-02 01:16:00,BTC/USD,3801.73,3802.5,3801.73,3801.74,1.75647658,6677.6672732492
