unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609459140,2020-12-31 23:59:00,BTC/USD,28982.44,29024.59,28969.83,28992.79,5.89767949,170990.1829408771
1577837760,2020-01-01 00:16:00,BTC/USD,7159.68,7159.68,7153.54,7153.55,0.71691469,5128.4850806495
1577838660,2020-01-01 00:31:00,BTC/USD,7157.25,7167.45,7157.25,7167.45,0.51053805,3659.2559464725
1577839560,2020-01-01 00:46:00,BTC/USD,7158.19,7158.19,7155.0,7155.0,0.04134207,295.80251085000003
1577840460,2020-01-01 01:01:00,BTC/USD,7150.0,7150.1,7150.0,7150.1,0.73775127,5274.995355627
1577841360,2020-01-01 01:16:00,BTC/USD,7171.22,7171.33,7166.12,7166.42,3.6121586,25886.245634212
1577842260,2020-01-01 01:31:00,BTC/USD,7200.54,7202.52,7193.67,7193.67,3.17536167,22842.5039846289
1577843160,2020-01-01 01:46:00,BTC/USD,7187.94,7187.94,7187.94,7187.94,0.3171892,2279.936938248
1577844060,2020-01-01 02:01:00,BTC/USD,7196.76,7198.92,7191.39,7191.39,0.15217904,1094.3788264656
1577844960,2020-01-01 02:16:00,BTC/USD,7192.39,7192.39,7192.39,7192.39,0.26493103,1905.4872908617
1577845860,2020-01-01 02:31:00,BTC/USD,7213.2,7213.2,7206.06,7206.06,0.03794127,273.4070680962
1577846760,2020-01-01 02:46:00,BTC/USD,7214.19,7214.19,7214.19,7214.19,0.82059884,5919.9559455396
1577847660,2020-01-01 03:01:00,BTC/USD,7216.02,7216.02,7212.86,7214.72,4.49037958,32396.8313634176
1577848560,2020-01-01 03:16:00,BTC/USD,7205.19,7205.19,7200.72,7205.19,0.05435171,391.6143973749
1577849460,2020-01-01 03:31:00,BTC/USD,7208.24,7211.64,7208.24,7211.61,2.36809428,17077.772390590802
1577850360,2020-01-01 03:46:00,BTC/USD,7193.8,7198.0,7193.8,7198.0,0.53845449,3875.79541902
1577851260,2020-01-01 04:01:00,BTC/USD,7194.9,7199.09,7194.9,7195.89,0.0559743,402.784905627
1577852160,2020-01-01 04:16:00,BTC/USD,7189.33,7189.33,7189.33,7189.33,0.07351189,528.5012361337
1577853060,2020-01-01 04:31:00,BTC/USD,7193.32,7193.32,7192.55,7192.55,0.49855285,3585.8663012675
1577853960,2020-01-01 04:46:00,BTC/USD,7196.96,7200.97,7196.96,7197.8,0.15332838,1103.627013564
1577854860,2020-01-01 05:01:00,BTC/USD,7194.45,7194.45,7194.45,7194.45,0.01819104,130.87452772799998
1577855760,2020-01-01 05:16:00,BTC/USD,7193.33,7197.53,7193.33,7197.53,0.13635223,981.3992659919
1577856660,2020-01-01 05:31:00,BTC/USD,7190.87,7196.61,7190.87,7190.87,0.07558122,543.4947274614
1577857560,2020-01-01 05:46:00,BTC/USD,7195.0,7195.0,7192.71,7192.71,0.16881127,1214.2105098417
1577858460,2020-01-01 06:01:00,BTC/USD,7199.34,7200.03,7195.51,7200.03,0.32761339,2358.8262364017
1577859360,2020-01-01 06:16:00,BTC/USD,7198.09,7206.53,7198.09,7204.65,4.65467807,33535.3263570255
1577860260,2020-01-01 06:31:00,BTC/USD,7207.27,7207.27,7202.53,7207.27,0.19337387,1393.6976920349
1577861160,2020-01-01 06:46:00,BTC/USD,7206.26,7206.27,7198.19,7198.19,0.13601118,979.0343157642
1577862060,2020-01-01 07:01:00,BTC/USD,7204.71,7204.71,7204.71,7204.71,0.0,0.0
1577862960,2020-01-01 07:16:00,BTC/USD,7208.03,7208.03,7205.44,7205.44,0.16268875,1172.2440267999998
1577863860,2020-01-01 07:31:00,BTC/USD,7206.35,7207.88,7206.35,7207.88,1.47130197,10604.9680435236
1577864760,2020-01-01 07:46:00,BTC/USD,7178.88,7184.75,7178.88,7178.88,0.05311412,381.2998937856
1577865660,2020-01-01 08:01:00,BTC/USD,7185.37,7185.37,7185.37,7185.37,0.00672739,48.3387862843
1577866560,2020-01-01 08:16:00,BTC/USD,7162.26,7169.4,7161.38,7161.38,0.2361338,1691.043872644
1577867460,2020-01-01 08:31:00,BTC/USD,7164.19,7170.38,7162.38,7170.38,2.30983315,16562.381422096998
1577868360,2020-01-01 08:46:00,BTC/USD,7155.06,7157.68,7153.76,7157.68,0.03156886,225.9597978448
1577869260,2020-01-01 09:01:00,BTC/USD,7184.97,7184.97,7184.87,7184.87,0.02550917,183.2800702579
1577870160,2020-01-01 09:16:00,BTC/USD,7169.88,7174.73,7169.79,7174.73,0.21427055,1537.3333432015
1577871060,2020-01-01 09:31:00,BTC/USD,7175.84,7175.84,7175.84,7175.84,0.0,0.0
1577871960,2020-01-01 09:46:00,BTC/USD,7177.53,7177.53,7173.0,7174.07,0.19858279,1424.6468362553
1577872860,2020-01-01 10:01:00,BTC/USD,7167.67,7172.11,7164.47,7172.11,14.46923697,103774.9591649067
1577873760,2020-01-01 10:16:00,BTC/USD,7186.83,7186.83,7179.71,7185.89,1.59879966,11488.798488797402
1577874660,2020-01-01 10:31:00,BTC/USD,7183.39,7187.58,7179.98,7179.98,4.86072861,34899.93420522779
1577875560,2020-01-01 10:46:00,BTC/USD,7191.7,7191.7,7186.25,7186.25,0.04407791,316.7548807375
1577876460,2020-01-01 11:01:00,BTC/USD,7183.91,7183.91,7177.58,7177.58,0.05716973,410.3403106534
1577877360,2020-01-01 11:16:00,BTC/USD,7187.88,7187.94,7181.89,7181.89,0.03506774,251.8526512286
1577878260,2020-01-01 11:31:00,BTC/USD,7208.03,7214.55,7208.03,7208.25,0.71470559,5151.7765691175
1577879160,2020-01-01 11:46:00,BTC/USD,7204.2,7204.2,7204.2,7204.2,0.00893214,64.348922988
1577880060,2020-01-01 12:01:00,BTC/USD,7181.97,7182.59,7181.97,7182.59,0.74644458,5361.4053758622
1577880960,2020-01-01 12:16:00,BTC/USD,7184.42,7190.27,7184.42,7184.87,0.17109633,1229.3048885270998
1577881860,2020-01-01 12:31:00,BTC/USD,7184.12,7194.2,7184.12,7194.2,0.03650563,262.628803346
1577882760,2020-01-01 12:46:00,BTC/USD,7197.23,7203.81,7194.42,7194.42,0.80911869,5821.139685709801
1577883660,2020-01-01 13:01:00,BTC/USD,7205.43,7205.43,7205.43,7205.43,0.018,129.69773999999998
1577884560,2020-01-01 13:16:00,BTC/USD,7200.32,7200.32,7195.63,7195.63,0.0763852,549.639636676
1577885460,2020-01-01 13:31:00,BTC/USD,7199.13,7199.13,7199.13,7199.13,0.00762575,54.8987655975
1577886360,2020-01-01 13:46:00,BTC/USD,7210.33,7210.33,7201.91,7201.91,2.71032756,19519.5351576396
1577887260,2020-01-01 14:01:00,BTC/USD,7202.46,7204.2,7196.96,7196.96,0.10192793,733.5712350928
