unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1546300740,2018-12-31 23:59:00,BTC/USD,3689.26,3693.3,3689.26,3693.3,9.83885454,36337.841472582
1514765760,2018-01-01 00:16:00,BTC/USD,13685.88,13687.37,13666.03,13666.03,20.30057359,277428.2476981477
1514766660,2018-01-01 00:31:00,BTC/USD,13699.87,13699.89,13672.61,13699.0,1.19917279,16427.46805021
1514767560,2018-01-01 00:46:00,BTC/USD,13661.67,13680.82,13661.67,13680.82,0.11601494,1587.1795114508
1514768460,2018-01-01 01:01:00,BTC/USD,13636.07,13678.89,13636.07,13678.89,9.46678965,129495.1742754885
1514769360,2018-01-01 01:16:00,BTC/USD,13567.78,13599.0,13564.07,13597.0,0.88517794,12035.76445018
1514770260,2018-01-01 01:31:00,BTC/USD,13649.98,13649.98,13648.02,13648.04,0.72288481,9865.9608022724
1514771160,2018-01-01 01:46:00,BTC/USD,13493.15,13493.15,13429.27,13429.27,4.92195503,66098.26302572811
1514772060,2018-01-01 02:01:00,BTC/USD,13380.82,13441.78,13380.81,13441.78,7.70769389,103605.1255767242
1514772960,2018-01-01 02:16:00,BTC/USD,13485.44,13485.44,13450.0,13450.0,0.02444621,328.8015245
1514773860,2018-01-01 02:31:00,BTC/USD,13390.67,13390.67,13390.67,13390.67,0.11932529,1597.8455810443
1514774760,2018-01-01 02:46:00,BTC/USD,13400.03,13445.09,13400.03,13445.09,0.32398104,4355.9542410936
1514775660,2018-01-01 03:01:00,BTC/USD,13459.93,13459.99,13401.01,13401.01,0.68143184,9131.8749021584
1514776560,2018-01-01 03:16:00,BTC/USD,13517.0,13519.0,13485.34,13491.06,0.11134642,1502.1812330052
1514777460,2018-01-01 03:31:00,BTC/USD,13586.2,13600.04,13586.2,13599.41,8.58956452,116813.0096289332
1514778360,2018-01-01 03:46:00,BTC/USD,13578.84,13579.12,13578.84,13579.12,0.06791826,922.2702027312
1514779260,2018-01-01 04:01:00,BTC/USD,13470.0,13497.56,13439.2,13487.74,3.41201637,46020.3896743038
1514780160,2018-01-01 04:16:00,BTC/USD,13420.57,13436.6,13420.57,13427.27,4.05409965,54435.490607455504
1514781060,2018-01-01 04:31:00,BTC/USD,13557.67,13557.67,13493.22,13557.62,0.42467292,5757.554073650401
1514781960,2018-01-01 04:46:00,BTC/USD,13650.59,13681.04,13650.0,13650.0,20.13869241,274893.1513965
1514782860,2018-01-01 05:01:00,BTC/USD,13646.48,13658.75,13610.18,13658.75,2.66318791,36375.8178657125
1514783760,2018-01-01 05:16:00,BTC/USD,13548.54,13581.79,13548.54,13575.02,9.01454092,122372.5732798184
1514784660,2018-01-01 05:31:00,BTC/USD,13577.22,13600.0,13550.0,13550.0,12.51924332,169635.74698599998
1514785560,2018-01-01 05:46:00,BTC/USD,13526.58,13563.06,13525.58,13525.58,0.67491579,9128.6275109082
1514786460,2018-01-01 06:01:00,BTC/USD,13540.34,13568.43,13540.34,13540.34,0.38996772,5280.2955178248
1514787360,2018-01-01 06:16:00,BTC/USD,13504.91,13521.83,13504.0,13521.83,4.86639365,65802.5476483795
1514788260,2018-01-01 06:31:00,BTC/USD,13688.83,13688.83,13670.24,13670.24,0.14388453,1966.9360573872
1514789160,2018-01-01 06:46:00,BTC/USD,13783.64,13792.01,13780.0,13789.48,3.17581176,43792.7927482848
1514790060,2018-01-01 07:01:00,BTC/USD,13863.06,13863.06,13787.92,13787.93,1.06030831,14619.4567566983
1514790960,2018-01-01 07:16:00,BTC/USD,13838.67,13865.63,13800.0,13800.0,11.30209474,155968.907412
1514791860,2018-01-01 07:31:00,BTC/USD,13815.0,13830.08,13799.05,13828.35,2.389521,33043.13272035
1514792760,2018-01-01 07:46:00,BTC/USD,13731.25,13734.73,13678.05,13678.36,1.9822219,27113.544748084
1514793660,2018-01-01 08:01:00,BTC/USD,13659.5,13659.5,13635.74,13635.74,0.45786548,6243.3346402552
1514794560,2018-01-01 08:16:00,BTC/USD,13668.27,13700.0,13668.27,13670.03,0.66098005,9035.6171129015
1514795460,2018-01-01 08:31:00,BTC/USD,13637.48,13637.48,13608.13,13608.13,1.92056411,26135.286082214297
