unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1646106180,2022-03-01 03:43:00,BTC/USD,43046.58,43046.58,43046.58,43046.58,0.0,0.0
1609460160,2021-01-01 00:16:00,BTC/USD,28849.06,28893.34,28844.42,28893.34,1.15812201,33462.0129964134
1609461060,2021-01-01 00:31:00,BTC/USD,28950.0,28969.07,28931.21,28931.21,17.39085988,503138.6192688548
1609461960,2021-01-01 00:46:00,BTC/USD,28992.36,29017.21,28978.02,29004.36,4.81764318,139732.6571442648
1609462860,2021-01-01 01:01:00,BTC/USD,29047.01,29048.07,29010.36,29030.04,7.01732391,203713.1938002564
1609463760,2021-01-01 01:16:00,BTC/USD,29416.55,29418.02,29356.2,29402.51,20.79674635,611476.5425233385
1609464660,2021-01-01 01:31:00,BTC/USD,29495.0,29499.99,29401.45,29401.45,10.41127962,306106.717183449
1609465560,2021-01-01 01:46:00,BTC/USD,29410.2,29430.0,29403.81,29429.59,8.05742355,237126.67153284448
1609466460,2021-01-01 02:01:00,BTC/USD,29526.11,29530.41,29506.27,29527.72,14.65845336,432830.7064471392
1609467360,2021-01-01 02:16:00,BTC/USD,29382.2,29395.78,29360.26,29360.26,8.61065758,252811.1453197708
1609468260,2021-01-01 02:31:00,BTC/USD,29276.0,29319.39,29276.0,29307.0,2.59408066,76024.72190262
1609469160,2021-01-01 02:46:00,BTC/USD,29346.76,29367.31,29315.89,29337.83,4.30642732,126341.2326215156
1609470060,2021-01-01 03:01:00,BTC/USD,29283.01,29296.18,29270.66,29285.06,1.61175516,47200.3465659096
1609470960,2021-01-01 03:16:00,BTC/USD,29366.44,29381.57,29332.27,29332.27,6.53000139,191539.7638718553
1609471860,2021-01-01 03:31:00,BTC/USD,29260.51,29279.85,29248.14,29276.04,3.17608648,92983.2348319392
1609472760,2021-01-01 03:46:00,BTC/USD,29343.56,29355.99,29324.24,29338.42,9.60764451,281873.1098450742
1609473660,2021-01-01 04:01:00,BTC/USD,29386.44,29413.04,29363.28,29407.51,5.8611636,172362.227178636
1609474560,2021-01-01 04:16:00,BTC/USD,29410.98,29437.83,29410.98,29430.09,13.2256342,389231.604813078
1609475460,2021-01-01 04:31:00,BTC/USD,29418.45,29443.41,29358.35,29358.35,6.24096325,183224.3834306375
