unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1483229760,2017-01-01 00:16:00,BTC/USD,966.22,966.22,965.56,965.56,0.35548473,343.2418358988
1483230660,2017-01-01 00:31:00,BTC/USD,965.24,965.24,965.24,965.24,0.0,0.0
1483231560,2017-01-01 00:46:00,BTC/USD,966.4,966.4,966.0,966.0,9.07493947,8766.39152802
1483232460,2017-01-01 01:01:00,BTC/USD,966.6,966.6,966.6,966.6,0.0,0.0
1483233360,2017-01-01 01:16:00,BTC/USD,964.54,965.02,964.54,965.02,0.149,143.78798
1483234260,2017-01-01 01:31:00,BTC/USD,963.52,963.52,963.45,963.45,0.2,192.69000000000003
1483235160,2017-01-01 01:46:00,BTC/USD,963.07,963.07,963.07,963.07,0.0,0.0
1483236060,2017-01-01 02:01:00,BTC/USD,964.35,964.35,964.35,964.35,0.0,0.0
1483236960,2017-01-01 02:16:00,BTC/USD,963.62,963.62,963.62,963.62,0.0,0.0
1483237860,2017-01-01 02:31:00,BTC/USD,964.81,964.81,964.81,964.81,0.0,0.0
1483238760,2017-01-01 02:46:00,BTC/USD,963.6,963.6,963.6,963.6,0.01,9.636
1483239660,2017-01-01 03:01:00,BTC/USD,963.88,963.88,963.88,963.88,0.049,47.23012
1483240560,2017-01-01 03:16:00,BTC/USD,963.99,963.99,963.98,963.98,0.053,51.09094
1483241460,2017-01-01 03:31:00,BTC/USD,964.0,964.0,964.0,964.0,0.0,0.0
1483242360,2017-01-01 03:46:00,BTC/USD,963.99,963.99,963.99,963.99,0.0,0.0
1483243260,2017-01-01 04:01:00,BTC/USD,961.44,963.05,961.44,962.68,12.45030461,11985.6592419548
1483244160,2017-01-01 04:16:00,BTC/USD,963.64,963.64,963.64,963.64,0.017,16.381880000000002
1483245060,2017-01-01 04:31:00,BTC/USD,962.5,962.5,962.5,962.5,5.8,5582.5
1483245960,2017-01-01 04:46:00,BTC/USD,962.52,962.52,962.52,962.52,0.05,48.126000000000005
1483246860,2017-01-01 05:01:00,BTC/USD,963.02,963.02,963.02,963.02,0.03157171,30.4041881642
1483247760,2017-01-01 05:16:00,BTC/USD,963.0,963.0,963.0,963.0,0.0,0.0
1483248660,2017-01-01 05:31:00,BTC/USD,962.81,962.81,962.81,962.81,0.0,0.0
1483249560,2017-01-01 05:46:00,BTC/USD,964.0,964.0,964.0,964.0,0.0,0.0
1483250460,2017-01-01 06:01:00,BTC/USD,963.74,963.74,963.74,963.74,0.0,0.0
1483251360,2017-01-01 06:16:00,BTC/USD,964.0,964.0,964.0,964.0,0.0,0.0
1483252260,2017-01-01 06:31:00,BTC/USD,964.0,964.0,964.0,964.0,0.0,0.0
1483253160,2017-01-01 06:46:00,BTC/USD,964.99,964.99,964.99,964.99,0.0,0.0
1483254060,2017-01-01 07:01:00,BTC/USD,964.76,964.76,964.76,964.76,0.0,0.0
1483254960,2017-01-01 07:16:00,BTC/USD,964.98,964.98,964.98,964.98,0.0,0.0
1483255860,2017-01-01 07:31:00,BTC/USD,964.98,964.98,964.98,964.98,0.0,0.0
1483256760,2017-01-01 07:46:00,BTC/USD,964.96,964.96,964.96,964.96,0.0,0.0
1483257660,2017-01-01 08:01:00,BTC/USD,964.96,964.96,964.96,964.96,0.0,0.0
1483258560,2017-01-01 08:16:00,BTC/USD,964.96,964.96,964.96,964.96,0.0,0.0
1483259460,2017-01-01 08:31:00,BTC/USD,964.96,964.96,964.96,964.96,0.0,0.0
1483260360,2017-01-01 08:46:00,BTC/USD,964.98,964.98,964.98,964.98,0.01646832,15.8915994336
1483261260,2017-01-01 09:01:00,BTC/USD,964.98,964.98,964.98,964.98,0.0,0.0
1483262160,2017-01-01 09:16:00,BTC/USD,964.99,964.99,964.99,964.99,0.0,0.0
1483263060,2017-01-01 09:31:00,BTC/USD,965.0,965.0,965.0,965.0,0.0,0.0
1483263960,2017-01-01 09:46:00,BTC/USD,964.99,964.99,964.99,964.99,0.0,0.0
1483264860,2017-01-01 10:01:00,BTC/USD,965.6,965.6,965.6,965.6,0.0,0.0
1483265760,2017-01-01 10:16:00,BTC/USD,968.94,968.96,968.94,968.96,7.5798,7344.523008
1483266660,2017-01-01 10:31:00,BTC/USD,968.95,968.95,968.82,968.82,0.03586064,34.7425052448
1483267560,2017-01-01 10:46:00,BTC/USD,972.0,972.0,971.19,971.26,2.857773,2775.64060398
1483268460,2017-01-01 11:01:00,BTC/USD,973.98,973.98,973.96,973.96,1.51129951,1471.9452707596
1483269360,2017-01-01 11:16:00,BTC/USD,975.0,975.0,975.0,975.0,0.0,0.0
1483270260,2017-01-01 11:31:00,BTC/USD,974.96,974.96,974.96,974.96,0.0,0.0
1483271160,2017-01-01 11:46:00,BTC/USD,975.0,975.0,975.0,975.0,6.37195755,6212.65861125
1483272060,2017-01-01 12:01:00,BTC/USD,974.92,974.92,974.92,974.92,2.0,1949.84
1483272960,2017-01-01 12:16:00,BTC/USD,974.94,974.94,974.94,974.94,0.0,0.0
1483273860,2017-01-01 12:31:00,BTC/USD,975.62,975.62,975.62,975.62,0.0,0.0
1483274760,2017-01-01 12:46:00,BTC/USD,972.63,972.63,972.63,972.63,0.0,0.0
1483275660,2017-01-01 13:01:00,BTC/USD,972.51,972.51,972.51,972.51,0.5,486.255
1483276560,2017-01-01 13:16:00,BTC/USD,972.68,972.68,972.68,972.68,0.0,0.0
1483277460,2017-01-01 13:31:00,BTC/USD,973.4,973.4,973.4,973.4,0.0,0.0
1483278360,2017-01-01 13:46:00,BTC/USD,973.63,973.63,973.63,973.63,0.0,0.0
1483279260,2017-01-01 14:01:00,BTC/USD,974.1,974.1,974.07,974.07,0.15924654,155.1172772178
1483280160,2017-01-01 14:16:00,BTC/USD,974.52,974.52,974.52,974.52,0.02232239,21.7536155028
1483281060,2017-01-01 14:31:00,BTC/USD,974.07,974.09,973.75,974.04,3.0381836,2959.312353744
1483281960,2017-01-01 14:46:00,BTC/USD,974.93,974.93,974.93,974.93,0.04207244,41.0176839292
1483282860,2017-01-01 15:01:00,BTC/USD,975.98,976.31,975.98,976.31,14.79927213,14448.6773732403
1483283760,2017-01-01 15:16:00,BTC/USD,975.78,975.78,975.78,975.78,0.10516394,102.6168693732
1483284660,2017-01-01 15:31:00,BTC/USD,976.0,976.0,976.0,976.0,34.30163934,33478.39999584
1483285560,2017-01-01 15:46:00,BTC/USD,976.69,976.69,976.69,976.69,0.31493151,307.59045650190006
1483286460,2017-01-01 16:01:00,BTC/USD,977.49,977.92,977.49,977.92,1.62101105,1585.2191260159998
1483287360,2017-01-01 16:16:00,BTC/USD,977.91,977.91,977.91,977.91,0.0,0.0
1483288260,2017-01-01 16:31:00,BTC/USD,978.99,979.0,978.81,978.81,84.99404727,83193.02340834869
1483289160,2017-01-01 16:46:00,BTC/USD,990.86,992.0,990.85,992.0,13.52766442,13419.44310464
1483290060,2017-01-01 17:01:00,BTC/USD,993.0,993.0,993.0,993.0,2.04,2025.72
1483290960,2017-01-01 17:16:00,BTC/USD,993.98,994.0,993.98,993.98,4.36221369,4335.9531635862
1483291860,2017-01-01 17:31:00,BTC/USD,985.66,988.01,984.98,988.01,7.66205195,7570.1839471195
1483292760,2017-01-01 17:46:00,BTC/USD,990.57,993.73,990.57,993.73,1.41650178,1407.6203138394
1483293660,2017-01-01 18:01:00,BTC/USD,991.96,991.96,991.96,991.96,0.1,99.196
1483294560,2017-01-01 18:16:00,BTC/USD,994.17,994.17,992.86,992.86,4.0,3971.44
1483295460,2017-01-01 18:31:00,BTC/USD,995.8,995.8,995.8,995.8,0.75771239,754.5299979619999
1483296360,2017-01-01 18:46:00,BTC/USD,997.97,997.98,997.35,997.97,0.97838146,976.3953456362
1483297260,2017-01-01 19:01:00,BTC/USD,995.91,995.91,995.88,995.89,0.06,59.7534
1483298160,2017-01-01 19:16:00,BTC/USD,995.11,995.12,995.11,995.12,5.55672504,5529.6082218048
1483299060,2017-01-01 19:31:00,BTC/USD,993.49,993.49,993.49,993.49,0.0,0.0
1483299960,2017-01-01 19:46:00,BTC/USD,995.17,995.39,995.17,995.39,2.4756883,2464.275376937
1483300860,2017-01-01 20:01:00,BTC/USD,996.0,996.0,996.0,996.0,0.0,0.0
1483301760,2017-01-01 20:16:00,BTC/USD,997.98,997.99,997.98,997.99,2.37777908,2372.9997440492
1483302660,2017-01-01 20:31:00,BTC/USD,998.36,998.73,998.36,998.73,26.14690038,26113.693816517403
1483303560,2017-01-01 20:46:00,BTC/USD,1001.0,1001.58,1001.0,1001.58,0.01529946,15.3236331468
1483304460,2017-01-01 21:01:00,BTC/USD,999.44,1000.0,997.31,999.99,12.47023636,12470.1116576364
1483305360,2017-01-01 21:16:00,BTC/USD,1000.0,1001.98,1000.0,1001.98,6.67017965,6683.386605707
1483306260,2017-01-01 21:31:00,BTC/USD,1002.01,1003.0,1002.01,1002.18,30.62684,30693.6065112
1483307160,2017-01-01 21:46:00,BTC/USD,1003.14,1003.97,1003.14,1003.97,7.42357199,7453.043570800301
1483308060,2017-01-01 22:01:00,BTC/USD,1003.0,1003.92,1002.96,1003.59,2.81326118,2823.3607876362003
1483308960,2017-01-01 22:16:00,BTC/USD,1004.0,1004.0,1004.0,1004.0,1.099,1103.396
1483309860,2017-01-01 22:31:00,BTC/USD,1004.0,1004.0,1004.0,1004.0,2.48323939,2493.17234756
1483310760,2017-01-01 22:46:00,BTC/USD,1003.03,1003.03,1003.03,1003.03,0.0,0.0
1483311660,2017-01-01 23:01:00,BTC/USD,1002.4,1002.4,1002.4,1002.4,0.94919993,951.478009832
1483312560,2017-01-01 23:16:00,BTC/USD,994.42,995.0,994.39,995.0,11.3732154,11316.349323
1483313460,2017-01-01 23:31:00,BTC/USD,1002.0,1002.0,1002.0,1002.0,0.0,0.0
1483314360,2017-01-01 23:46:00,BTC/USD,997.42,997.42,997.42,997.42,0.01996738,19.9158641596
1483315260,2017-01-02 00:01:00,BTC/USD,997.8,999.76,997.8,999.76,16.16332869,16159.4494911144
1483316160,2017-01-02 00:16:00,BTC/USD,997.7,998.04,997.68,998.04,1.50896174,1506.0041749896
1483317060,2017-01-02 00:31:00,BTC/USD,997.62,997.62,997.54,997.54,5.65889627,5644.9753851758
1483317960,2017-01-02 00:46:00,BTC/USD,998.03,998.03,998.03,998.03,0.09,89.8227
1483318860,2017-01-02 01:01:00,BTC/USD,997.7,997.99,997.68,997.68,1.45248061,1449.1108549848
1483319760,2017-01-02 01:16:00,BTC/USD,997.97,997.97,997.96,997.96,0.08544627,85.27195960920001
1483320660,2017-01-02 01:31:00,BTC/USD,997.69,997.69,997.68,997.68,4.93290818,4921.4638330224
1483321560,2017-01-02 01:46:00,BTC/USD,998.39,998.46,998.39,998.46,1.6596312,1657.075367952
